Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49455,22,29,28,failed-1,l,m,s,61375,34,41,40,failed-2,0,4,10
5,20435,ND,PFD,MFD,ND,21840,l,nan,nan,44360,22,24,28,successful-1,nan,m,s,60900,19,41,25,failed-2,0,1,10
9,20460,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,19,20,successful-1,l,m,s,63995,13,42,19,failed-2,1,9,10
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,13,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,11
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41460,13,20,19,successful-2,2,2,11
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,11
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,59070,34,37,40,successful-2,0,2,11
9,20450,ND,PFD,MFD,ND,21855,l,nan,nan,42920,22,22,28,successful-1,l,m,s,62700,34,41,40,failed-2,0,8,11
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,11
4,20445,nan,nan,MFD,MFD,21080,l,m,s,32700,7,8,13,successful-1,l,m,s,39190,13,18,19,successful-2,2,2,11
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47510,19,27,25,successful-2,1,2,11
4,20480,nan,nan,MFD,MFD,21115,l,m,s,32740,7,8,13,successful-1,l,m,s,39230,13,18,19,successful-2,2,2,12
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,12
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49600,22,29,28,failed-1,l,m,s,61525,34,41,40,failed-2,0,4,12
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,nan,47280,19,27,25,successful-2,2,1,12
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,12
9,20435,ND,PFD,MFD,ND,21840,l,nan,nan,42920,22,22,28,successful-1,l,m,s,62700,34,42,40,failed-2,0,8,12
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47800,19,27,25,successful-2,1,2,12
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,13,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,12
